Name,market_value_in_dollars,assets_in_dollars,Difference
RBC,150400000000,1000000000,149400000000
"Tata Consultancy Services",166500000000,17600000000,148900000000
"International Holding Company",239500000000,92200000000,147300000000
SAP,224700000000,78800000000,145900000000
"PDD Holdings",194200000000,49100000000,145100000000
AbbVie,293900000000,148900000000,145000000000
"Applied Materials",176200000000,31900000000,144300000000
McDonald's,196400000000,53500000000,142900000000
"Texas Instruments",177600000000,34900000000,142700000000
"Bank of China",145700000000,4000000000,141700000000
Accenture,190900000000,51300000000,139600000000
ServiceNow,156800000000,17500000000,139300000000
AstraZeneca,238400000000,102300000000,136100000000
Unilever,216800000000,83100000000,133700000000
"Thermo Fisher Scientific",227200000000,97100000000,130100000000
Linde,207900000000,80300000000,127600000000
"China Merchants Bank",127400000000,1000000000,126400000000
"Intuitive Surgical",141500000000,15800000000,125700000000
Nestl̩,272100000000,150400000000,121700000000
Citigroup,122200000000,2000000000,120200000000
"Mitsubishi UFJ Financial",117200000000,2000000000,115200000000
Danaher,196900000000,83400000000,113500000000
Allianz,113800000000,1000000000,112800000000
Blackstone,151900000000,39700000000,112200000000
Inditex,146100000000,35600000000,110500000000
"Abbott Laboratories",181100000000,72500000000,108600000000
Novartis,201400000000,94300000000,107100000000
"Zhongliang Holdings ",131000000000,25500000000,105500000000
"Ping An Insurance Group",105500000000,1000000000,104500000000
Nike,139100000000,37400000000,101700000000
"Roche Holding",208400000000,107500000000,100900000000
"Lam Research",119200000000,18300000000,100900000000
"TD Bank Group",101500000000,1000000000,100500000000
"Booking Holdings",125800000000,27700000000,98100000000
Uber,137200000000,39600000000,97600000000
UBS,97400000000,1000000000,96400000000
Keyence,113700000000,19600000000,94100000000
"Cisco Systems",195100000000,101200000000,93900000000
Eaton,132000000000,38500000000,93500000000
"Tokyo Electron",107500000000,16200000000,91300000000
"Vertex Pharmaceuticals",114900000000,23900000000,91000000000
Caterpillar,174200000000,83700000000,90500000000
"Philip Morris International",155200000000,65300000000,89900000000
